page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
3,4,"Pétanque is a popular game in the South of France particularly in Provence. Played with metal balls on a gravel surface the objective is to throw the balls as close as possible to a small wooden ball called the cochonnet. Pétanque is more than just a game; it's a social activity that brings people together in village squares and parks. The relaxed atmosphere and friendly competition make it a beloved pastime.",12.00,75.78,467.30,412,72.00,201.30,539.30,277.08,false,false
3,5,"Course Camarguaise",12.00,7.39,109.78,18,72.00,294.96,181.78,302.35,true,false
3,6,"The Course Camarguaise is a traditional bullfighting sport unique to the Camargue region. Unlike Spanish bullfighting the objective is not to harm the bull but to remove ribbons and other decorations from its horns. The razeteurs or participants demonstrate agility and bravery as they dodge the bull's charges. The sport is deeply rooted in local culture and is often accompanied by music and festivities particularly in Arles from April to October.",12.00,75.78,457.33,450,72.00,319.92,529.33,395.70,false,false
3,7,"",12.00,7.39,2.74,0,72.00,413.52,74.74,420.91,true,false
3,8,"Culinary Traditions",12.00,7.39,101.02,19,72.00,438.66,173.02,446.05,true,false
3,9,"Provençal Cuisine",12.00,7.39,94.96,17,72.00,463.80,166.96,471.19,true,false
3,10,"Provençal cuisine is characterized by its use of fresh local ingredients and Mediterranean flavors. Olive oil garlic tomatoes and herbs such as thyme rosemary and basil are staples in Provençal dishes. Some iconic dishes include ratatouille a vegetable stew; bouillabaisse a fish soup; and tapenade an olive spread. Provençal cuisine reflects the region's agricultural heritage and its emphasis on simple flavorful cooking.",12.00,75.72,468.61,423,72.00,488.82,540.61,564.54,false,false
3,11,"Wine and Vineyards",12.00,7.39,106.06,18,72.00,582.42,178.06,589.81,true,false
3,12,"The South of France is renowned for its wine production with regions such as Provence Languedoc and the Rhône Valley producing some of the finest wines in the world. Wine is an integral part of the local culture and vineyards often host tours and tastings. The tradition of winemaking dates back to Roman times and the region's diverse terroir contributes to a wide variety of wine styles.",12.00,75.78,469.51,389,72.00,607.38,541.51,683.16,false,false
3,13,"Truﬄe Hunting",12.00,7.39,80.98,13,72.00,701.04,152.98,708.43,true,false
4,0,"Truﬄes often referred to as 'black diamonds' are a prized delicacy in the South of France. The region's truﬄe season which runs from November to March is marked by truﬄe markets and festivals. Truﬄe hunting typically done with trained dogs or pigs is a time-honored tradition. The town of Richerenches hosts a truﬄe mass every January where truﬄes are blessed by the local priest.",12.00,75.78,468.91,380,72.00,83.76,540.91,159.54,false,false
4,1,"",12.00,7.39,2.74,0,72.00,177.36,74.74,184.75,true,false
4,2,"Arts and Crafts",12.00,7.39,79.90,15,72.00,202.50,151.90,209.89,true,false
4,3,"Pottery and Ceramics",12.00,7.39,113.92,20,72.00,227.64,185.92,235.03,true,false
4,4,"The South of France has a rich tradition of pottery and ceramics with towns like Vallauris and Biot being renowned for their craftsmanship. Artisans create a wide range of items from functional tableware to decorative pieces. The region's pottery often features vibrant colors and intricate designs reflecting the local landscape and culture.",12.00,58.68,467.00,342,72.00,252.60,539.00,311.28,false,false
4,5,"Lavender Products",12.00,7.39,100.36,17,72.00,329.10,172.36,336.49,true,false
4,6,"Lavender is synonymous with Provence and the region's lavender fields are a major attraction. The fragrant flowers are harvested to produce a variety of products including essential oils soaps and sachets. Lavender festivals such as the one in Sault in July celebrate the harvest with parades music and markets. Visitors can also tour lavender farms and distilleries to learn about the production process.",12.00,75.78,468.13,405,72.00,354.12,540.13,429.90,false,false
4,7,"",12.00,7.39,2.74,0,72.00,447.72,74.74,455.11,true,false
4,8,"Religious and Spiritual Traditions",12.00,7.39,173.74,34,72.00,472.86,245.74,480.25,true,false
4,9,"Pilgrimages",12.00,7.39,63.58,11,72.00,498.00,135.58,505.39,true,false
4,10,"The South of France is home to several important pilgrimage sites. The town of Lourdes located in the Pyrenees is one of the most famous attracting millions of visitors each year. Pilgrims come to Lourdes to visit the Sanctuary of Our Lady of Lourdes where the Virgin Mary is said to have appeared to a young girl in 1858. The town of Saintes-Maries-de-la-Mer is another significant pilgrimage site particularly for the Romani community who venerate Saint Sara.",12.00,92.82,461.59,461,72.00,523.02,533.59,615.84,false,false
4,11,"Christmas Traditions",12.00,7.39,109.30,20,72.00,633.72,181.30,641.11,true,false
4,12,"Christmas in Provence is marked by unique traditions that reflect the region's cultural heritage. One of the most distinctive customs is the '13 Desserts' a feast of thirteen diﬀerent sweets served after Midnight Mass on Christmas Eve. The number represents Jesus and the twelve apostles. Another tradition is the 'santon' figurines which are handcrafted clay figures",12.00,58.68,468.44,367,72.00,658.68,540.44,717.36,false,false
5,0,"used to create nativity scenes. Santon fairs such as the one in Marseille oﬀer a wide variety of these charming figures.",12.00,24.48,458.53,120,72.00,83.76,530.53,108.24,false,false
5,1,"",12.00,7.39,2.74,0,72.00,126.06,74.74,133.45,true,false
5,2,"Music and Dance",12.00,7.39,90.46,15,72.00,151.20,162.46,158.59,true,false
5,3,"Provençal Folk Music",12.00,7.39,112.72,20,72.00,176.34,184.72,183.73,true,false
5,4,"Provençal folk music is an essential part of the region's cultural identity. Traditional instruments such as the galoubet (a type of flute) and tambourin (a drum) are often used in folk music performances. The music is characterized by lively rhythms and melodies that reflect the region's festive spirit. Folk dances such as the farandole are performed at festivals and celebrations with participants forming long chains and weaving through the streets.",12.00,75.78,467.11,454,72.00,201.30,539.11,277.08,false,false
5,5,"Jazz Manouche",12.00,7.39,81.76,13,72.00,294.96,153.76,302.35,true,false
5,6,"The South of France has a rich tradition of Jazz manouche. This genre was popularized by the legendary guitarist Django Reinhardt who was born in Belgium but spent much of his life in the South of France. Jazz manouche is characterized by its fast tempos virtuosic guitar playing and swing rhythms. The annual Django Reinhardt Festival in Samois-sur-Seine celebrates his legacy with performances by top jazz manouche musicians.",12.00,75.78,465.19,427,72.00,319.92,537.19,395.70,false,false
5,7,"",12.00,7.39,2.74,0,72.00,413.52,74.74,420.91,true,false
5,8,"",12.00,7.39,2.74,0,72.00,438.66,74.74,446.05,true,false
5,9,"Conclusion",12.00,7.39,60.22,10,72.00,463.80,132.22,471.19,true,false
5,10,"The South of France is a region steeped in traditions and cultural heritage that reflect its diverse history and influences. From the Provençal language and literature to the vibrant festivals and culinary delights the region oﬀers a rich tapestry of customs and practices that continue to thrive today. Whether you're exploring the picturesque villages participating in local celebrations or savoring the flavors of Provençal cuisine you'll find that the traditions and culture of the South of France provide a deep and enriching experience. Use this guide to immerse yourself in the unique cultural landscape of this beautiful region and create lasting memories of your journey.",12.00,127.02,466.87,680,72.00,488.82,538.87,615.84,false,false
5,11,"",12.00,7.38,2.77,0,72.00,633.60,74.77,640.98,false,false
