page,block,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
4,12,"a versatile dress or a pair of stylish shoes.",12.00,7.38,207.85,45,108.00,388.02,315.85,395.40,false,false
4,13,"Toiletries",12.00,7.39,50.80,10,72.00,413.28,122.80,420.67,true,false
4,14,"• Basic Toiletries: Toothbrush toothpaste shampoo conditioner body wash",11.95,7.39,398.77,71,90.00,438.36,488.77,445.75,false,false
4,15,"deodorant and personal hygiene items.",12.00,7.38,201.55,37,108.00,455.46,309.55,462.84,false,false
4,16,"• Skincare: Sunscreen moisturizer and daily skincare products.",11.94,7.39,329.83,62,90.00,480.72,419.83,488.11,false,false
4,17,"• Makeup: Pack essentials in a travel-sized makeup bag.",11.93,7.39,293.29,55,90.00,505.92,383.29,513.31,false,false
4,18,"• Additional Items: A small sewing kit nail clippers and a razor.",11.94,7.39,332.95,65,90.00,531.12,422.95,538.51,false,false
4,19,"• Additional Tips: Consider packing a travel-sized perfume or cologne to freshen up on",11.95,7.39,448.51,86,90.00,556.38,538.51,563.77,false,false
4,20,"the go.",12.00,7.38,36.67,7,108.00,573.48,144.67,580.86,false,false
4,21,"Gadgets and Accessories",12.00,7.39,130.96,23,72.00,598.68,202.96,606.07,true,false
4,22,"• Electronics: Smartphone charger power bank and other devices. Bring a travel",11.95,7.39,420.91,78,90.00,623.82,510.91,631.21,false,false
4,23,"adapter if needed.",12.00,7.38,93.49,18,108.00,640.92,201.49,648.30,false,false
4,24,"• Camera: Capture memories with a camera extra batteries and memory cards.",11.95,7.39,413.41,74,90.00,666.12,503.41,673.51,false,false
4,25,"• Books and Entertainment: A book e-reader or tablet for entertainment during",11.95,7.39,419.71,77,90.00,691.32,509.71,698.71,false,false
4,26,"travel.",12.00,7.38,33.37,7,108.00,708.42,141.37,715.80,false,false
5,0,"• Additional Tips: Download maps and travel guides to your devices for oﬄine use.",11.95,7.39,429.56,81,90.00,83.88,519.56,91.27,false,false
5,1,"Consider bringing a portable Wi-Fi hotspot for reliable internet access.",12.00,7.38,352.27,72,108.00,100.98,460.27,108.36,false,false
5,2,"",12.00,8.59,3.34,0,72.00,126.18,75.34,134.77,true,false
5,3,"",12.00,7.39,2.74,0,216.00,126.18,218.74,133.57,true,false
6,0,"Packing for Kids",12.00,7.39,85.96,16,72.00,83.88,157.96,91.27,true,false
6,1,"Clothing",12.00,7.39,46.84,8,72.00,109.02,118.84,116.41,true,false
6,2,"• Comfortable Wear: T-shirts shorts pants dresses pajamas and underwear.",11.95,7.39,404.05,72,90.00,134.10,494.05,141.49,false,false
6,3,"• Layering: Depending on the season pack sweaters jackets and hats.",11.94,7.39,366.91,67,90.00,159.36,456.91,166.75,false,false
6,4,"• Swimwear: Swimsuits and cover-ups for beach or pool days.",11.93,7.39,323.29,59,90.00,184.56,413.29,191.95,false,false
6,5,"• Accessories: A sun hat sunglasses and a lightweight jacket.",11.94,7.39,320.35,61,90.00,209.82,410.35,217.21,false,false
6,6,"• Additional Tips: Pack extra clothing for kids as they may need more changes of",11.95,7.39,419.71,80,90.00,235.02,509.71,242.41,false,false
6,7,"clothes than adults.",12.00,7.38,100.09,20,108.00,252.12,208.09,259.50,false,false
6,8,"Essentials",12.00,7.39,53.92,10,72.00,277.32,125.92,284.71,true,false
6,9,"• Diapers and Wipes: For babies or toddlers pack enough diapers and wipes.",11.95,7.39,399.91,74,90.00,302.46,489.91,309.85,false,false
6,10,"• Snacks: Bring a variety of snacks for travel and outings.",11.93,7.39,295.27,59,90.00,327.66,385.27,335.05,false,false
6,11,"• Toys and Entertainment: Favorite toys books or games. Consider a tablet with pre-",11.95,7.39,439.86,83,90.00,352.92,529.86,360.31,false,false
6,12,"downloaded content.",12.00,7.38,110.29,19,108.00,370.02,218.29,377.40,false,false
6,13,"• Additional Tips: Pack a small backpack for each child with their essentials to keep",11.95,7.39,430.75,85,90.00,395.22,520.75,402.61,false,false
6,14,"them engaged. Include comfort items like a favorite blanket or stuﬀed animal.",12.00,7.38,389.83,77,108.00,412.32,497.83,419.70,false,false
6,15,"Toiletries",12.00,7.39,50.80,10,72.00,437.52,122.80,444.91,true,false
6,16,"• Basic Toiletries: Toothbrush toothpaste shampoo body wash and personal hygiene",11.95,7.39,446.71,80,90.00,462.66,536.71,470.05,false,false
6,17,"items.",12.00,7.38,32.71,6,108.00,479.76,140.71,487.14,false,false
6,18,"• Sunscreen: Kid-friendly sunscreen.",11.89,7.39,195.37,36,90.00,504.96,285.37,512.35,false,false
6,19,"• Additional Items: A small first aid kit with child-specific medications.",11.95,7.39,364.75,74,90.00,530.22,454.75,537.61,false,false
6,20,"• Additional Tips: Pack extra toiletries for kids as they may need more frequent use of",11.96,7.39,444.91,87,90.00,555.42,534.91,562.81,false,false
6,21,"items like wipes and hand sanitizer.",12.00,7.38,178.81,36,108.00,572.52,286.81,579.90,false,false
6,22,"Safety and Comfort",12.00,7.39,103.90,18,72.00,597.72,175.90,605.11,true,false
6,23,"• Car Seat: Check if a car seat is provided if renting a car. If not bring your own.",11.95,7.39,407.35,84,90.00,622.86,497.35,630.25,false,false
6,24,"• Stroller: A lightweight foldable stroller for younger children.",11.94,7.39,323.65,65,90.00,648.06,413.65,655.45,false,false
6,25,"• Blanket and Pillow: A small blanket and travel pillow for comfort during flights or",11.95,7.39,429.98,85,90.00,673.32,519.98,680.71,false,false
6,26,"long car rides.",12.00,7.38,72.67,15,108.00,690.42,180.67,697.80,false,false
7,0,"• Additional Tips: Bring a favorite stuﬀed animal or comfort item to help kids feel at",11.95,7.39,431.95,86,90.00,83.88,521.95,91.27,false,false
7,1,"home. Consider packing a travel potty for young children.",12.00,7.38,288.80,57,108.00,100.98,396.80,108.36,false,false
7,2,"",12.00,7.39,2.74,0,72.00,126.18,74.74,133.57,true,false
7,3,"Special Considerations",12.00,7.39,120.28,22,72.00,151.32,192.28,158.71,true,false
7,4,"Beach Trips",12.00,7.39,62.50,11,72.00,176.46,134.50,183.85,true,false
7,5,"• Beach Bag: A large waterproof bag for essentials.",11.92,7.39,270.07,51,90.00,201.60,360.07,208.99,false,false
7,6,"• Towels: Lightweight quick-drying beach towels.",11.92,7.39,263.77,48,90.00,226.80,353.77,234.19,false,false
7,7,"• Beach Toys: Buckets shovels and toys for kids.",11.92,7.39,257.59,48,90.00,252.00,347.59,259.39,false,false
7,8,"• Snorkeling Gear: Bring your own gear for a better fit and comfort.",11.94,7.39,350.66,68,90.00,277.26,440.66,284.65,false,false
7,9,"• Additional Tips: Pack a beach umbrella or tent for shade and a cooler for drinks and",11.95,7.39,441.19,86,90.00,302.46,531.19,309.85,false,false
7,10,"snacks. Consider bringing a waterproof phone case to protect your device.",12.00,7.38,371.77,73,108.00,319.56,479.77,326.94,false,false
7,11,"Hiking and Outdoor Activities",12.00,7.39,156.64,29,72.00,344.76,228.64,352.15,true,false
7,12,"• Backpack: A sturdy comfortable backpack for essentials.",11.93,7.39,307.21,57,90.00,369.90,397.21,377.29,false,false
7,13,"• Water Bottle: A reusable water bottle.",11.90,7.39,211.51,40,90.00,395.10,301.51,402.49,false,false
7,14,"• First Aid Kit: A small kit with band-aids antiseptic wipes and medications.",11.95,7.39,394.69,77,90.00,420.36,484.69,427.75,false,false
7,15,"• Insect Repellent: Protect against bugs and mosquitoes.",11.93,7.39,298.15,56,90.00,445.56,388.15,452.95,false,false
7,16,"• Additional Tips: Wear moisture-wicking clothing and sturdy hiking boots. Bring a map",11.95,7.39,451.40,86,90.00,470.76,541.40,478.15,false,false
7,17,"and compass or GPS device. Pack energy bars or snacks for long hikes.",12.00,7.38,354.01,69,108.00,487.86,462.01,495.24,false,false
7,18,"City Exploration",12.00,7.39,86.68,16,72.00,513.12,158.68,520.51,true,false
7,19,"• Day Bag: A small secure day bag for carrying essentials like water snacks and a",11.95,7.39,421.64,81,90.00,538.20,511.64,545.59,false,false
7,20,"camera.",12.00,7.38,42.37,7,108.00,555.30,150.37,562.68,false,false
7,21,"• Comfortable Shoes: Wear comfortable walking shoes for exploring cities.",11.95,7.39,388.75,73,90.00,580.56,478.75,587.95,false,false
7,22,"• Guidebook: A guidebook or map to help navigate and find points of interest.",11.95,7.39,405.25,77,90.00,605.76,495.25,613.15,false,false
7,23,"• Additional Tips: Use a money belt or hidden pouch to keep valuables safe. Consider",11.95,7.39,441.79,84,90.00,630.96,531.79,638.35,false,false
7,24,"using public transportation to explore cities eﬃciently.",12.00,7.38,273.13,56,108.00,648.06,381.13,655.44,false,false
7,25,"Wine Tours",12.00,7.39,60.76,10,72.00,673.32,132.76,680.71,true,false
7,26,"• Comfortable Clothing: Wear comfortable casual clothing suitable for walking and",11.95,7.39,433.34,81,90.00,698.40,523.34,705.79,false,false
7,27,"wine tasting.",12.00,7.38,66.19,13,108.00,715.50,174.19,722.88,false,false
8,0,"• Notebook: Bring a notebook to jot down notes about the wines you taste.",11.95,7.39,391.45,73,90.00,83.88,481.45,91.27,false,false
8,1,"• Water Bottle: Stay hydrated by drinking water between tastings.",11.94,7.39,341.89,65,90.00,109.08,431.89,116.47,false,false
8,2,"• Additional Tips: Plan your wine tour route in advance and consider hiring a driver or",11.95,7.39,443.54,87,90.00,134.34,533.54,141.73,false,false
8,3,"joining a guided tour to avoid drinking and driving.",12.00,7.38,255.85,52,108.00,151.44,363.85,158.82,false,false
8,4,"",12.00,7.39,2.74,0,72.00,176.64,74.74,184.03,true,false
8,5,"Tips and Tricks for Packing",12.00,7.39,140.56,27,72.00,201.78,212.56,209.17,true,false
8,6,"• Check the Weather: Check the forecast before packing to ensure appropriate clothing.",11.95,7.39,452.29,86,90.00,226.86,542.29,234.25,false,false
8,7,"• Make a Packing List: Create a list to ensure nothing is forgotten. Cross oﬀ items as you",11.96,7.39,452.17,90,90.00,252.12,542.17,259.51,false,false
8,8,"pack.",12.00,7.38,29.53,5,108.00,269.22,137.53,276.60,false,false
8,9,"• Use Packing Cubes: Organize clothes and maximize space.",11.93,7.39,315.13,57,90.00,294.42,405.13,301.81,false,false
8,10,"• Roll Your Clothes: Save space and reduce wrinkles.",11.92,7.39,278.05,52,90.00,319.62,368.05,327.01,false,false
8,11,"• Pack Dual-Purpose Items: Choose items that serve multiple purposes.",11.94,7.39,373.99,69,90.00,344.88,463.99,352.27,false,false
8,12,"• Wear Bulky Items: Wear bulky items like coats or boots during travel to save suitcase",11.95,7.39,445.21,87,90.00,370.08,535.21,377.47,false,false
8,13,"space.",12.00,7.38,33.67,6,108.00,387.18,141.67,394.56,false,false
8,14,"• Pack a Day Bag: Bring a small day bag for daily excursions.",11.94,7.39,314.47,61,90.00,412.38,404.47,419.77,false,false
8,15,"• Leave Room for Souvenirs: Leave extra space or bring a foldable bag for souvenirs.",11.95,7.39,438.49,84,90.00,437.64,528.49,445.03,false,false
8,16,"• Additional Tips: Pack a small travel umbrella a reusable shopping bag and a",11.95,7.39,407.11,77,90.00,462.84,497.11,470.23,false,false
8,17,"portable phone charger. Consider using a luggage scale to avoid overweight baggage fees.",12.00,24.48,426.37,88,108.00,479.94,534.37,504.42,false,false
8,18,"",12.00,8.59,3.34,0,72.00,522.24,75.34,530.83,true,false
8,19,"",12.00,7.39,2.74,0,216.00,522.24,218.74,529.63,true,false
9,0,"Conclusion",12.00,7.39,60.22,10,72.00,83.88,132.22,91.27,true,false
9,1,"Packing for a trip to the South of France involves considering the season planned activities and the needs of both adults and children. By following this comprehensive guide and incorporating the tips and tricks provided you'll be well-prepared for a comfortable and enjoyable trip. Remember to pack light versatile clothing and essential items to make the most of your travel experience. Bon voyage!",12.00,75.78,457.33,400,72.00,108.90,529.33,184.68,false,false
9,2,"",12.00,7.38,2.77,0,72.00,202.38,74.77,209.76,false,false
