page,block,heading,content,avgFontSize,height,width,textLength,x0,y0,x1,y1,isBold,isItalic
235,1,H1,TEN,14,8.61,28.51,3,494.77,123.81,523.28,132.41,TRUE,FALSE
235,2,H1,PYTHONINITIALIZATIONCONFIGURATION,14,8.61,291.64,33,231.63,178.6,523.28,187.21,TRUE,FALSE
235,8,H2,10.1Example,14,8.61,92.85,11,72,485.55,164.85,494.16,TRUE,FALSE
236,10,H2,10.2PyWideStringList,14,8.61,153.46,20,72,267.62,225.46,276.23,TRUE,FALSE
236,17,H2,10.3PyStatus,14,8.61,95.86,12,72,598.28,167.86,606.89,TRUE,FALSE
238,1,H2,10.4PyPreConfig,14,8.61,119.53,15,72,84.55,191.53,93.16,TRUE,FALSE
239,12,H2,10.5PreinitializePythonwithPyPreConfig,14,8.61,285.6,38,72,551.95,357.6,560.56,TRUE,FALSE
240,11,H2,10.6PyConfig,14,8.61,96.48,12,72,615.51,168.48,624.12,TRUE,FALSE
251,6,H2,10.7InitializationwithPyConfig,14,8.61,212.67,30,72,348.71,284.67,357.32,TRUE,FALSE
253,5,H2,10.8IsolatedConfiguration,14,8.61,183.72,25,72,183.94,255.72,192.55,TRUE,FALSE
253,7,H2,10.9PythonConfiguration,14,8.61,178.37,23,72,324.74,250.37,333.35,TRUE,FALSE
253,9,H2,10.10PythonPathConfiguration,14,8.61,220.37,28,72,453.59,292.37,462.19,TRUE,FALSE
254,9,H2,10.11Py_GetArgcArgv(),14,8.61,163.88,21,72,659.55,235.88,668.15,TRUE,FALSE
255,1,H2,10.12Multi-PhaseInitializationPrivateProvisionalAPI,14,8.61,364.57,51,72,84.55,436.57,93.16,TRUE,FALSE
257,1,H1,ELEVEN,14,8.61,54.37,6,468.9,123.81,523.28,132.41,TRUE,FALSE
257,2,H1,MEMORYMANAGEMENT,14,8.61,168.27,16,355.02,178.6,523.29,187.21,TRUE,FALSE
257,3,H2,11.1Overview,14,8.61,97.83,12,72,242.36,169.83,250.97,TRUE,FALSE
258,4,H2,11.2AllocatorDomains,14,8.61,159.29,20,72,218.21,231.29,226.82,TRUE,FALSE
258,9,H2,11.3RawMemoryInterface,14,8.61,187.1,22,72,599.31,259.1,607.92,TRUE,FALSE
259,7,H2,11.4MemoryInterface,14,8.61,153.86,19,72,411.48,225.86,420.08,TRUE,FALSE
260,12,H2,11.5Objectallocators,14,8.61,149.82,20,72,626.67,221.82,635.28,TRUE,FALSE
261,12,H2,11.6DefaultMemoryAllocators,14,8.61,214.39,27,72,571.2,286.39,579.81,TRUE,FALSE
262,2,H2,11.7CustomizeMemoryAllocators,14,8.61,237.33,29,72,229.16,309.33,237.77,TRUE,FALSE
263,12,H2,11.8DebughooksonthePythonmemoryallocators,14,8.61,353.55,41,72,537.18,425.55,545.79,TRUE,FALSE
265,1,H2,11.9Thepymallocallocator,14,8.61,187.81,24,72,84.55,259.81,93.16,TRUE,FALSE
265,13,H2,11.10Themimallocallocator,14,8.61,196.26,25,72,526.2,268.26,534.81,TRUE,FALSE
265,15,H2,11.11tracemallocCAPI,14,8.61,163.68,20,72,625.16,235.68,633.77,TRUE,FALSE
266,3,H2,11.12Examples,14,8.61,108.64,13,72,148.46,180.64,157.07,TRUE,FALSE
267,1,H1,TWELVE,14,8.61,57.26,6,466.03,123.81,523.29,132.41,TRUE,FALSE
267,2,H1,OBJECTIMPLEMENTATIONSUPPORT,14,8.61,261.1,27,262.19,178.6,523.29,187.21,TRUE,FALSE
267,4,H2,12.1AllocatingObjectsontheHeap,14,8.61,245.58,30,72,270.01,317.58,278.61,TRUE,FALSE
268,4,H2,12.2CommonObjectStructures,14,8.61,220.23,26,72,163.91,292.23,172.52,TRUE,FALSE
276,20,H2,12.3TypeObjectStructures,14,8.61,192.78,24,72,656.73,264.78,665.34,TRUE,FALSE
312,7,H2,12.4SupportingCyclicGarbageCollection,14,8.61,290.14,37,72,231.76,362.14,240.37,TRUE,FALSE
317,1,H1,THIRTEEN,14,8.61,71.34,8,451.95,123.81,523.29,132.41,TRUE,FALSE
317,2,H1,APIANDABIVERSIONING,14,8.61,179.05,19,344.22,178.6,523.28,187.21,TRUE,FALSE
319,1,H1,FOURTEEN,14,8.61,77.93,8,445.36,123.81,523.29,132.41,TRUE,FALSE
319,2,H1,MONITORINGCAPI,14,8.61,135.67,14,387.62,178.6,523.29,187.21,TRUE,FALSE
321,1,H1,FIFTEEN,14,8.61,58.83,7,464.44,123.81,523.28,132.41,TRUE,FALSE
321,2,H1,GENERATINGEXECUTIONEVENTS,14,8.61,239.18,25,284.1,178.6,523.28,187.21,TRUE,FALSE
322,14,H2,15.1ManagingtheMonitoringState,14,8.61,243.12,30,72,423.43,315.12,432.04,TRUE,FALSE
325,1,BODY,A,14,8.61,10,1,513.28,123.81,523.28,132.41,TRUE,FALSE
325,2,BODY,GLOSSARY,14,8.61,77.61,8,445.68,178.6,523.29,187.21,TRUE,FALSE
343,1,BODY,B,14,8.61,10.1,1,513.18,123.81,523.28,132.41,TRUE,FALSE
343,2,BODY,ABOUTTHISDOCUMENTATION,14,8.61,217.76,22,305.53,178.6,523.29,187.21,TRUE,FALSE
343,5,BODY,B.1ContributorstothePythondocumentation,14,8.61,314.78,39,72,395.54,386.78,404.14,TRUE,FALSE
345,1,BODY,C,14,8.61,10.34,1,512.93,123.81,523.28,132.41,TRUE,FALSE
345,2,BODY,HISTORYANDLICENSE,14,8.61,161.19,17,362.1,178.6,523.29,187.21,TRUE,FALSE
345,3,BODY,C.1Historyofthesoftware,14,8.61,183.83,23,72,242.36,255.83,250.97,TRUE,FALSE
346,1,BODY,C.2TermsandconditionsforaccessingorotherwiseusingPython,14,8.61,451.29,55,72,84.55,523.29,93.16,TRUE,FALSE
349,8,BODY,C.3LicensesandAcknowledgementsforIncorporatedSoftware,14,8.61,435.55,53,72,446.13,507.55,454.74,TRUE,FALSE
365,1,BODY,D,14,8.61,10.39,1,512.89,123.81,523.28,132.41,TRUE,FALSE
365,2,BODY,COPYRIGHT,14,8.61,84.11,9,439.18,178.6,523.29,187.21,TRUE,FALSE
367,0,BODY,INDEX,14,8.61,43.21,5,480.07,132.27,523.28,140.88,TRUE,FALSE
367,1,BODY,Non-alphabetical,14,8.61,104.91,16,72,222.43,176.91,231.04,FALSE,FALSE
367,2,BODY,A,14,8.61,9.55,1,302.62,222.43,312.17,231.04,FALSE,FALSE
368,2,BODY,E,14,8.61,9.08,1,302.62,82.46,311.7,91.07,FALSE,FALSE
368,10,BODY,C,14,8.61,10.17,1,72,200.86,82.17,209.47,FALSE,FALSE
368,23,BODY,D,14,8.61,10.01,1,72,596.22,82.01,604.83,FALSE,FALSE
368,25,BODY,F,14,8.61,8.59,1,302.62,621.28,311.21,629.89,FALSE,FALSE
369,3,BODY,L,14,8.61,8.08,1,302.62,143.76,310.7,152.37,FALSE,FALSE
369,10,BODY,G,14,8.61,10.97,1,72,224.51,82.97,233.12,FALSE,FALSE
369,15,BODY,M,14,8.61,12.14,1,302.62,360.58,314.76,369.19,FALSE,FALSE
369,18,BODY,H,14,8.61,10.34,1,72,417.8,82.34,426.41,FALSE,FALSE
369,26,BODY,I,14,8.61,3.99,1,72,503.88,75.99,512.49,FALSE,FALSE
370,3,BODY,N,14,8.61,10.47,1,72,151.7,82.47,160.31,FALSE,FALSE
370,10,BODY,O,14,8.61,11.25,1,72,297.34,83.25,305.95,FALSE,FALSE
370,19,BODY,P,14,8.61,9.41,1,72,670.34,81.41,678.95,FALSE,FALSE
387,25,BODY,R,14,8.61,10.17,1,302.62,585.39,312.79,593.99,FALSE,FALSE
387,34,BODY,S,14,8.61,9.57,1,302.62,755.1,312.19,763.71,FALSE,FALSE
388,11,BODY,U,14,8.61,10.33,1,302.62,320.24,312.95,328.85,FALSE,FALSE
388,15,BODY,V,14,8.61,9.25,1,302.62,394.08,311.87,402.68,FALSE,FALSE
388,20,BODY,W,14,8.61,13.44,1,302.62,492.11,316.06,500.72,FALSE,FALSE
388,22,BODY,Z,14,8.61,8.82,1,302.62,530.08,311.44,538.69,FALSE,FALSE
388,26,BODY,T,14,8.61,9.07,1,72,583.63,81.07,592.24,FALSE,FALSE
1,3,BODY,"April27,2025",11,7.17,75.99,12,447.28,603.97,523.26,611.15,TRUE,FALSE
1,4,BODY,PythonSoftwareFoundation Email:docs@python.org,11,21.12,161.26,46,362.02,755.94,523.29,777.06,TRUE,FALSE
18,1,H3,1.4.2Types,11,7.17,66.61,10,72,81.96,138.61,89.14,TRUE,FALSE
22,7,H3,2.2.4LimitedAPICaveats,11,7.17,145.98,22,72,617.33,217.98,624.5,TRUE,FALSE
87,9,H3,6.6.2Buildingvalues,11,7.17,118.42,19,72,323.09,190.42,330.26,TRUE,FALSE
94,15,H3,6.10.2RegistryAPIforUnicodeencodingerrorhandlers,11,7.17,318.87,48,72,483.46,390.87,490.63,TRUE,FALSE
95,11,H3,6.11.1Types,11,7.17,73.26,11,72,365.67,145.26,372.85,TRUE,FALSE
95,18,H3,6.11.2ClockFunctions,11,7.17,129.98,20,72,563.42,201.98,570.6,TRUE,FALSE
96,8,H3,6.11.4Conversionfunctions,11,7.17,159.05,25,72,287.57,231.05,294.74,TRUE,FALSE
106,12,H3,7.2.1Thetp_callProtocol,11,7.17,146.69,23,72,556.14,218.69,563.31,TRUE,FALSE
110,14,H3,7.2.4CallSupportAPI,11,7.17,125.66,19,72,648.46,197.66,655.64,TRUE,FALSE
120,13,H3,7.7.2Bufferrequesttypes,11,7.17,146.95,23,72,612.6,218.95,619.77,TRUE,FALSE
123,24,H3,7.7.4Buffer-relatedfunctions,11,7.17,164.8,28,72,616.37,236.8,623.54,TRUE,FALSE
125,8,H3,8.1.1TypeObjects,11,7.17,107.32,16,72,444.08,179.32,451.25,TRUE,FALSE
138,1,H3,8.2.2BooleanObjects,11,7.17,125.94,19,72,81.96,197.94,89.14,TRUE,FALSE
138,15,H3,8.2.3Floating-PointObjects,11,7.17,158.47,26,72,442.34,230.47,449.51,TRUE,FALSE
142,3,H3,8.3.1BytesObjects,11,7.17,111.06,17,72,148.24,183.06,155.42,TRUE,FALSE
143,21,H3,8.3.2ByteArrayObjects,11,7.17,138.06,21,72,714.22,210.06,721.39,TRUE,FALSE
162,12,H3,8.3.4TupleObjects,11,7.17,110.9,17,72,615.59,182.9,622.76,TRUE,FALSE
164,2,H3,8.3.5StructSequenceObjects,11,7.17,173.8,26,72,157.65,245.8,164.83,TRUE,FALSE
165,11,H3,8.3.6ListObjects,11,7.17,100.22,16,72,383.39,172.22,390.56,TRUE,FALSE
167,10,H3,8.4.1DictionaryObjects,11,7.17,136.58,22,72,339.3,208.58,346.47,TRUE,FALSE
172,2,H3,8.4.2SetObjects,11,7.17,98.24,15,72,182.21,170.24,189.39,TRUE,FALSE
175,9,H3,8.5.2InstanceMethodObjects,11,7.17,173.23,26,72,658.43,245.23,665.6,TRUE,FALSE
182,5,H3,8.6.2ModuleObjects,11,7.17,121.06,18,72,194.17,193.06,201.34,TRUE,FALSE
191,19,H3,8.6.5SliceObjects,11,7.17,107.08,17,72,471.5,179.08,478.68,TRUE,FALSE
193,1,H3,8.6.6MemoryViewobjects,11,7.17,150.11,22,72,81.96,222.11,89.14,TRUE,FALSE
196,14,H3,8.6.9FrameObjects,11,7.17,114.73,17,72,591.68,186.73,598.85,TRUE,FALSE
201,14,H3,8.6.13DateTimeObjects,11,7.17,139.91,21,72,481.09,211.91,488.26,TRUE,FALSE
218,6,H3,9.5.2Non-Pythoncreatedthreads,11,7.17,191.09,29,72,348.59,263.09,355.76,TRUE,FALSE
218,11,H3,9.5.3Cautionsaboutfork(),11,7.17,151.44,24,72,692.47,223.44,699.65,TRUE,FALSE
221,11,H3,9.5.5Low-levelAPI,11,7.17,108.62,17,72,424.3,180.62,431.48,TRUE,FALSE
226,10,H3,9.6.1APer-InterpreterGIL,11,7.17,149.68,24,72,663.02,221.68,670.19,TRUE,FALSE
269,17,H3,12.2.2Implementingfunctionsandmethods,11,7.17,248.94,37,72,706.84,320.94,714.02,TRUE,FALSE
273,1,H3,12.2.3Accessingattributesofextensiontypes,11,7.17,262.21,41,72,81.96,334.21,89.14,TRUE,FALSE
281,2,H3,12.3.2PyTypeObjectDefinition,11,7.17,176.08,28,72,109.76,248.08,116.94,TRUE,FALSE
282,8,H3,12.3.3PyObjectSlots,11,7.17,122.78,19,72,537.49,194.78,544.66,TRUE,FALSE
283,3,H3,12.3.4PyVarObjectSlots,11,7.17,141.44,22,72,227.84,213.44,235.01,TRUE,FALSE
283,6,H3,12.3.5PyTypeObjectSlots,11,7.17,150.96,23,72,357.33,222.96,364.5,TRUE,FALSE
302,13,H3,12.3.6StaticTypes,11,7.17,108.64,17,72,634.18,180.64,641.35,TRUE,FALSE
303,3,H3,12.3.8NumberObjectStructures,11,7.17,187.79,28,72,211.48,259.79,218.65,TRUE,FALSE
305,2,H3,12.3.9MappingObjectStructures,11,7.17,191.64,29,72,403.96,263.64,411.13,TRUE,FALSE
305,11,H3,12.3.10SequenceObjectStructures,11,7.17,205.89,31,72,637.31,277.89,644.49,TRUE,FALSE
306,13,H3,12.3.11BufferObjectStructures,11,7.17,182.57,29,72,487.07,254.57,494.24,TRUE,FALSE
308,8,H3,12.3.13SlotTypetypedefs,11,7.17,151.71,23,72,334.04,223.71,341.22,TRUE,FALSE
346,3,H3,C.2.1PYTHONSOFTWAREFOUNDATIONLICENSEVERSION2,11,7.17,355.06,44,72,196.34,427.06,203.51,TRUE,FALSE
347,12,H3,C.2.3CNRILICENSEAGREEMENTFORPYTHON1.6.1,11,7.17,304.14,39,72,599.2,376.14,606.37,TRUE,FALSE
348,12,H3,C.2.4CWILICENSEAGREEMENTFORPYTHON0.9.0THROUGH1.2,11,7.17,381.19,48,72,668.99,453.19,676.17,TRUE,FALSE
349,4,H3,C.2.5ZERO-CLAUSEBSDLICENSEFORCODEINTHEPYTHONDOCUMENTA-,11,7.17,451.28,54,72,262.52,523.28,269.69,TRUE,FALSE
349,5,BODY,TION,11,7.17,28.63,4,105.87,276.47,134.5,283.64,TRUE,FALSE
349,10,H3,C.3.1MersenneTwister,11,7.17,134.9,20,72,510.1,206.9,517.27,TRUE,FALSE
350,6,H3,C.3.2Sockets,11,7.17,79.96,12,72,405.98,151.96,413.15,TRUE,FALSE
351,1,H3,C.3.3Asynchronoussocketservices,11,7.17,207.08,31,72,81.96,279.08,89.14,TRUE,FALSE
351,6,H3,C.3.4Cookiemanagement,11,7.17,150.34,21,72,382.49,222.34,389.66,TRUE,FALSE
351,11,H3,C.3.5Executiontracing,11,7.17,132.39,21,72,694.97,204.39,702.15,TRUE,FALSE
352,8,H3,C.3.6UUencodeandUUdecodefunctions,11,7.17,237.49,33,72,394.02,309.49,401.2,TRUE,FALSE
353,1,H3,C.3.7XMLRemoteProcedureCalls,11,7.17,199.56,28,72,81.96,271.56,89.14,TRUE,FALSE
353,8,H3,C.3.8test_epoll,11,7.17,88.79,15,72,455.74,160.79,462.91,TRUE,FALSE
354,1,H3,C.3.9Selectkqueue,11,7.17,114.61,17,72,81.96,186.61,89.14,TRUE,FALSE
354,6,H3,C.3.10SipHash24,11,7.17,101.49,15,72,419.87,173.49,427.04,TRUE,FALSE
355,1,H3,C.3.11strtodanddtoa,11,7.17,127.07,19,72,81.96,199.07,89.14,TRUE,FALSE
355,3,H3,C.3.12OpenSSL,11,7.17,94.45,13,72,394.64,166.45,401.81,TRUE,FALSE
358,7,H3,C.3.13expat,11,7.17,71.46,11,72,585.27,143.46,592.44,TRUE,FALSE
359,4,H3,C.3.14libffi,11,7.17,64.31,12,72,237.89,136.31,245.06,TRUE,FALSE
359,9,H3,C.3.15zlib,11,7.17,60.17,10,72,562.33,132.17,569.5,TRUE,FALSE
360,7,H3,C.3.16cfuhash,11,7.17,85.59,13,72,225.94,157.59,233.11,TRUE,FALSE
360,15,H3,C.3.17libmpdec,11,7.17,92.99,14,72,681.88,164.99,689.05,TRUE,FALSE
361,6,H3,C.3.18W3CC14Ntestsuite,11,7.17,156.68,22,72,370.11,228.68,377.29,TRUE,FALSE
362,5,H3,C.3.20asyncio,11,7.17,83.7,13,72,370.54,155.7,377.71,TRUE,FALSE
362,10,H3,C.3.21GlobalUnboundedSequences(GUS),11,7.17,251.96,35,72,671.06,323.96,678.24,TRUE,FALSE
131,3,H3,8.1.2TheNoneObject,10.78,7.17,123.41,18,72,191.18,195.41,198.35,TRUE,FALSE
232,11,H3,9.11.2ThreadLocalStorage(TLS)API Deprecatedsinceversion3.7:ThisAPIissupersededbyThreadSpecificStorage(TSS)API.,10,24.67,358.75,110,72,425.05,430.75,449.72,FALSE,FALSE
277,2,H3,12.3.1QuickReference “tpslots”,10,26.25,133.06,30,72,122.44,205.06,148.69,TRUE,FALSE
22,2,H3,"2.2.2StableABI Toenablethis,PythonprovidesaStableABI:asetofsymbolsthatwillremainABI-compatibleacrossPython3.x versions.",9.67,36.62,451.27,119,72,152.32,523.27,188.95,FALSE,FALSE
106,15,H3,7.2.2TheVectorcallProtocol Addedinversion3.9. ThevectorcallprotocolwasintroducedinPEP590asanadditionalprotocolformakingcallsmoreefficient.,9.67,42.6,424.41,138,72,708.74,496.41,751.34,FALSE,FALSE
200,1,H3,8.6.12ContextVariablesObjects Addedinversion3.7. Changedinversion3.7.1:,9.67,42.6,185.21,71,72,81.96,257.21,124.56,FALSE,FALSE
315,3,H3,"12.4.2QueryingGarbageCollectorState TheC-APIprovidesthefollowinginterfaceforqueryinginformationaboutthegarbagecollector. voidPyUnstable_GC_VisitObjects(gcvisitobjects_tcallback,void*arg)",9.52,42.6,379.46,186,72,173.24,451.46,215.85,FALSE,FALSE
140,7,H3,"8.2.4ComplexNumberObjects Python’scomplexnumberobjectsareimplementedastwodistincttypeswhenviewedfromtheCAPI:oneisthe PythonobjectexposedtoPythonprograms,andtheotherisaCstructurewhichrepresentstheactualcomplexnumber value.TheAPIprovidesfunctionsforworkingwithboth.",9.5,48.58,451.28,263,72,239,523.28,287.58,FALSE,FALSE
314,11,H3,12.4.1ControllingtheGarbageCollectorState TheC-APIprovidesthefollowingfunctionsforcontrollinggarbagecollectionruns. Py_ssize_tPyGC_Collect(void),9.5,42.6,325.09,144,72,556.61,397.09,599.21,FALSE,FALSE
191,3,H3,8.6.4DescriptorObjects “Descriptors”areobjectsthatdescribesomeattributeofanobject.Theyarefoundinthedictionaryoftypeobjects. PyTypeObjectPyProperty_Type,9.48,42.59,448.04,151,72,149.34,520.04,191.93,TRUE,FALSE
